,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10386,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19454212.0,19454212.0,False,,1,,,,2023-08-11T15:41:00.000Z,29354.81424888418,10518656767.247925,-22.1609,-0.43642893,-0.43295639,0.37539346,-3.93985339,13.6131451,9.48122107,571074779618.4136,48.7924,616451099226.57,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
1,1027,Ethereum,ETH,ethereum,7226,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120149688.3865989,120149688.3865989,True,,2,,,,2023-08-11T15:41:00.000Z,1843.478752535336,3304668717.736564,-22.5619,-0.52973492,-0.56408116,-0.05696872,-2.32357357,6.34842769,2.57072799,221493397664.4367,18.9243,221493397664.44,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
2,825,Tether USDt,USDT,tether,59298,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83533427826.00142,86684257831.22757,True,,3,,,,2023-08-11T15:41:00.000Z,0.9990236338250822,17011588368.553843,-17.0476,-0.00738174,-0.00150842,-0.00398838,-0.09395627,-0.11367682,-0.16783321,83451868612.59717,7.1301,86599622253.98,,2023-08-11T15:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-11 15:42:54.316452+00:00
3,1839,BNB,BNB,bnb,1563,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153853220.5787972,153853220.5787972,False,,4,,,,2023-08-11T15:41:00.000Z,238.71204306474593,371065384.41357386,1.4166,-0.84152264,-1.4752834,-1.69979021,-2.56843564,3.23639793,-22.96332386,36726616616.45569,3.1379,36726616616.46,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
4,52,XRP,XRP,xrp,1026,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52787284454.0,99988519823.0,False,,5,,,,2023-08-11T15:41:00.000Z,0.6290915776025359,939336554.6748652,-37.5627,-0.49495627,-0.32373338,-5.10551015,33.34943966,22.27900777,47.81387055,33208036054.520676,2.8364,62909157760.25,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
5,3408,USD Coin,USDC,usd-coin,13574,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26023419588.02357,26023419588.02357,False,,6,,,,2023-08-11T15:41:00.000Z,1.0001330118069716,2462713896.505101,-18.8524,0.00083472,0.0086429,0.01424795,0.01711141,0.0060177,-0.01012894,26026881010.08655,2.223,26026881010.09,,2023-08-11T15:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-11 15:42:54.316452+00:00
6,74,Dogecoin,DOGE,dogecoin,765,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140547016383.7052,140547016383.7052,True,,7,,,,2023-08-11T15:41:00.000Z,0.07543697493472155,250952319.8470035,-27.5682,-0.30240901,-1.06291648,1.32295143,15.97339362,23.50961609,5.37886721,10602441752.08747,0.9056,10602441752.09,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
7,2010,Cardano,ADA,cardano,889,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35030291978.484,36061170836.355,False,,8,,,,2023-08-11T15:41:00.000Z,0.2943209186250543,149543733.58882296,-29.0105,-0.55359836,-1.23391901,-0.48034005,0.86334492,5.6776724,-19.13852573,10310147714.811281,0.8809,13244441338.13,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
8,5426,Solana,SOL,solana,496,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,405848965.0988012,554577762.8627216,True,,9,,,,2023-08-11T15:41:00.000Z,24.636437090026302,314327427.67786247,-13.3708,-0.13244699,0.28818526,5.63115443,9.61848306,61.61727228,18.08559938,9998672496.708897,0.854,13662820166.29,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
9,1958,TRON,TRX,tron,808,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89499403533.77917,89499486671.38487,True,,10,71659659264.0,5516735556.290741,,2023-08-11T15:41:00.000Z,0.07698523287651479,147038632.94056416,-13.4155,-0.11940617,-0.21365601,-0.82962536,-0.85592473,9.64385079,11.17167658,6890132423.357161,0.5885,6890138823.73,,2023-08-11T15:41:00.000Z,,,,,,2023-08-11 15:42:54.316452+00:00
